Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Surrey,0,-,0,-,446,78.10%,125,21.90%,42,71.20%,17,28.80%,23,85.20%,4,14.80%,8,61.50%,5,38.50%,196,92.50%,16,7.50%,26,86.70%,4,13.30%,53,93.00%,4,7.00%,119,96.70%,4,3.30%,66,84.60%,12,15.40%,10,100.00%,0,0.00%,311,91.20%,30,8.80%,20,100.00%,
Sussex,1,100.00%,0,0.00%,789,81.40%,180,18.60%,79,61.70%,49,38.30%,78,84.80%,14,15.20%,19,70.40%,8,29.60%,553,94.50%,32,5.50%,57,91.90%,5,8.10%,117,78.50%,32,21.50%,274,90.40%,29,9.60%,204,86.80%,31,13.20%,55,82.10%,12,17.90%,590,90.90%,59,9.10%,43,100.00%,
Thames Valley,10,83.30%,2,16.70%,1306,74.00%,460,26.00%,121,69.50%,53,30.50%,133,79.20%,35,20.80%,38,82.60%,8,17.40%,958,91.90%,85,8.10%,96,85.00%,17,15.00%,181,80.80%,43,19.20%,445,90.80%,45,9.20%,291,80.60%,70,19.40%,80,95.20%,4,4.80%,842,87.10%,125,12.90%,52,100.00%,
Warwickshire,2,50.00%,2,50.00%,218,78.40%,60,21.60%,25,78.10%,7,21.90%,33,89.20%,4,10.80%,3,100.00%,0,0.00%,174,94.60%,10,5.40%,13,92.90%,1,7.10%,38,80.90%,9,19.10%,84,100.00%,0,0.00%,73,85.90%,12,14.10%,18,90.00%,2,10.00%,294,84.00%,56,16.00%,13,100.00%,
West Mercia,4,57.10%,3,42.90%,655,80.30%,161,19.70%,73,68.20%,34,31.80%,52,80.00%,13,20.00%,17,94.40%,1,5.60%,388,93.90%,25,6.10%,36,83.70%,7,16.30%,99,83.20%,20,16.80%,168,92.30%,14,7.70%,200,90.10%,22,9.90%,42,91.30%,4,8.70%,641,87.90%,88,12.10%,33,100.00%,
West Midlands,18,75.00%,6,25.00%,2381,80.10%,592,19.90%,205,73.50%,74,26.50%,232,85.00%,41,15.00%,136,80.00%,34,20.00%,2004,92.60%,160,7.40%,357,90.40%,38,9.60%,323,85.00%,57,15.00%,783,94.90%,42,5.10%,885,84.00%,168,16.00%,266,87.80%,37,12.20%,1068,86.20%,171,13.80%,219,100.00%,
West Yorkshire,14,77.80%,4,22.20%,1536,79.10%,405,20.90%,145,77.50%,42,22.50%,233,90.70%,24,9.30%,59,83.10%,12,16.90%,1100,92.10%,94,7.90%,138,84.10%,26,15.90%,307,86.00%,50,14.00%,464,93.90%,30,6.10%,376,84.90%,67,15.10%,82,81.20%,19,18.80%,922,84.90%,164,15.10%,83,100.00%,
Wiltshire,6,85.70%,1,14.30%,393,85.60%,66,14.40%,33,78.60%,9,21.40%,31,96.90%,1,3.10%,4,100.00%,0,0.00%,282,92.20%,24,7.80%,34,94.40%,2,5.60%,74,92.50%,6,7.50%,99,96.10%,4,3.90%,89,91.80%,8,8.20%,23,74.20%,8,25.80%,265,94.00%,17,6.00%,11,100.00%,
National,368,83.40%,73,16.60%,"32,811",78.30%,"9,069",21.70%,"3,297",72.60%,"1,242",27.40%,"3,623",84.30%,674,15.70%,"1,131",81.20%,262,18.80%,"23,967",92.00%,"2,079",8.00%,"2,929",86.50%,459,13.50%,"5,899",84.80%,"1,057",15.20%,"12,556",93.90%,820,6.10%,"10,366",84.40%,"1,909",15.60%,"2,332",86.00%,381,14.00%,"22,698",84.70%,"4,113",15.30%,"2,230",100.00%,
Avon and Somerset,7,77.80%,2,22.20%,830,80.70%,199,19.30%,146,74.10%,51,25.90%,89,91.80%,8,8.20%,26,83.90%,5,16.10%,628,92.60%,50,7.40%,70,88.60%,9,11.40%,171,84.20%,32,15.80%,279,93.60%,19,6.40%,204,85.40%,35,14.60%,30,90.90%,3,9.10%,559,88.70%,71,11.30%,60,100.00%,
Bedfordshire,5,100.00%,0,0.00%,271,78.80%,73,21.20%,22,75.90%,7,24.10%,27,87.10%,4,12.90%,22,95.70%,1,4.30%,204,93.20%,15,6.80%,22,81.50%,5,18.50%,47,81.00%,11,19.00%,90,92.80%,7,7.20%,69,84.10%,13,15.90%,15,88.20%,2,11.80%,272,76.80%,82,23.20%,31,100.00%,
Cambridgeshire,3,100.00%,0,0.00%,412,78.60%,112,21.40%,44,84.60%,8,15.40%,34,94.40%,2,5.60%,18,90.00%,2,10.00%,290,93.90%,19,6.10%,26,86.70%,4,13.30%,80,78.40%,22,21.60%,93,96.90%,3,3.10%,96,86.50%,15,13.50%,37,82.20%,8,17.80%,287,90.80%,29,9.20%,45,100.00%,
Cheshire,4,80.00%,1,20.00%,792,83.80%,153,16.20%,72,80.00%,18,20.00%,65,92.90%,5,7.10%,18,72.00%,7,28.00%,498,95.20%,25,4.80%,54,100.00%,0,0.00%,111,86.70%,17,13.30%,290,96.70%,10,3.30%,294,88.30%,39,11.70%,36,92.30%,3,7.70%,523,88.80%,66,11.20%,34,100.00%,
Cleveland,8,100.00%,0,0.00%,374,78.60%,102,21.40%,19,90.50%,2,9.50%,94,87.90%,13,12.10%,35,85.40%,6,14.60%,669,93.70%,45,6.30%,29,78.40%,8,21.60%,92,82.90%,19,17.10%,167,87.00%,25,13.00%,149,81.90%,33,18.10%,24,96.00%,1,4.00%,233,88.30%,31,11.70%,22,100.00%,
Cumbria,0,-,0,-,344,85.40%,59,14.60%,16,100.00%,0,0.00%,31,86.10%,5,13.90%,6,100.00%,0,0.00%,261,93.90%,17,6.10%,17,85.00%,3,15.00%,81,92.00%,7,8.00%,113,95.80%,5,4.20%,135,91.80%,12,8.20%,29,96.70%,1,3.30%,240,89.60%,28,10.40%,7,100.00%,
Derbyshire,2,100.00%,0,0.00%,646,83.20%,130,16.80%,14,100.00%,0,0.00%,40,80.00%,10,20.00%,26,74.30%,9,25.70%,435,85.60%,73,14.40%,42,77.80%,12,22.20%,158,85.90%,26,14.10%,179,94.20%,11,5.80%,197,88.30%,26,11.70%,62,88.60%,8,11.40%,370,84.90%,66,15.10%,41,100.00%,
Devon and Cornwall,16,94.10%,1,5.90%,700,81.70%,157,18.30%,59,88.10%,8,11.90%,62,86.10%,10,13.90%,13,65.00%,7,35.00%,308,93.30%,22,6.70%,51,86.40%,8,13.60%,109,90.80%,11,9.20%,195,96.10%,8,3.90%,174,85.70%,29,14.30%,19,73.10%,7,26.90%,599,85.70%,100,14.30%,47,100.00%,
Dorset,3,75.00%,1,25.00%,423,87.40%,61,12.60%,24,82.80%,5,17.20%,36,87.80%,5,12.20%,2,50.00%,2,50.00%,298,95.50%,14,4.50%,24,80.00%,6,20.00%,75,96.20%,3,3.80%,150,97.40%,4,2.60%,127,90.10%,14,9.90%,23,92.00%,2,8.00%,267,91.10%,26,8.90%,35,100.00%,
Durham,0,-,0,-,358,84.60%,65,15.40%,16,100.00%,0,0.00%,66,85.70%,11,14.30%,7,87.50%,1,12.50%,355,92.90%,27,7.10%,25,86.20%,4,13.80%,97,89.80%,11,10.20%,63,98.40%,1,1.60%,108,79.40%,28,20.60%,23,74.20%,8,25.80%,309,95.10%,16,4.90%,10,100.00%,
Dyfed Powys,3,75.00%,1,25.00%,204,81.90%,45,18.10%,21,56.80%,16,43.20%,17,81.00%,4,19.00%,4,100.00%,0,0.00%,106,94.60%,6,5.40%,25,89.30%,3,10.70%,37,82.20%,8,17.80%,173,93.50%,12,6.50%,80,93.00%,6,7.00%,16,84.20%,3,15.80%,266,79.40%,69,20.60%,9,100.00%,
Essex,13,68.40%,6,31.60%,926,76.40%,286,23.60%,125,73.10%,46,26.90%,89,80.20%,22,19.80%,21,77.80%,6,22.20%,547,88.50%,71,11.50%,65,83.30%,13,16.70%,187,87.40%,27,12.60%,239,93.70%,16,6.30%,196,83.80%,38,16.20%,49,84.50%,9,15.50%,614,86.50%,96,13.50%,50,100.00%,
Gloucestershire,6,100.00%,0,0.00%,253,82.40%,54,17.60%,17,89.50%,2,10.50%,44,93.60%,3,6.40%,2,66.70%,1,33.30%,177,95.20%,9,4.80%,17,89.50%,2,10.50%,41,80.40%,10,19.60%,70,100.00%,0,0.00%,48,87.30%,7,12.70%,9,100.00%,0,0.00%,185,91.60%,17,8.40%,24,100.00%,
GreaterManchester,13,72.20%,5,27.80%,1768,79.40%,460,20.60%,296,72.20%,114,27.80%,210,88.60%,27,11.40%,57,85.10%,10,14.90%,910,95.20%,46,4.80%,95,86.40%,15,13.60%,274,85.40%,47,14.60%,394,94.50%,23,5.50%,495,88.70%,63,11.30%,119,82.60%,25,17.40%,1046,84.90%,186,15.10%,84,100.00%,
Gwent,0,-,0,-,298,82.30%,64,17.70%,31,81.60%,7,18.40%,32,84.20%,6,15.80%,5,71.40%,2,28.60%,247,93.60%,17,6.40%,22,91.70%,2,8.30%,74,81.30%,17,18.70%,150,96.80%,5,3.20%,76,83.50%,15,16.50%,16,84.20%,3,15.80%,265,87.20%,39,12.80%,19,100.00%,
Hampshire,9,90.00%,1,10.00%,807,85.60%,136,14.40%,115,83.90%,22,16.10%,93,93.00%,7,7.00%,19,86.40%,3,13.60%,544,93.60%,37,6.40%,73,83.90%,14,16.10%,116,86.60%,18,13.40%,236,94.80%,13,5.20%,188,89.10%,23,10.90%,55,85.90%,9,14.10%,680,89.70%,78,10.30%,37,100.00%,
Hertfordshire,4,80.00%,1,20.00%,564,78.80%,152,21.20%,33,84.60%,6,15.40%,58,86.60%,9,13.40%,13,72.20%,5,27.80%,534,91.80%,48,8.20%,113,95.00%,6,5.00%,86,77.50%,25,22.50%,227,94.60%,13,5.40%,129,83.20%,26,16.80%,38,88.40%,5,11.60%,411,82.50%,87,17.50%,29,100.00%,
Humberside,4,100.00%,0,0.00%,477,84.40%,88,15.60%,86,68.80%,39,31.20%,88,83.80%,17,16.20%,23,88.50%,3,11.50%,514,95.20%,26,4.80%,27,79.40%,7,20.60%,140,88.60%,18,11.40%,166,94.30%,10,5.70%,229,91.20%,22,8.80%,38,73.10%,14,26.90%,339,87.40%,49,12.60%,24,100.00%,
Kent,21,91.30%,2,8.70%,741,79.60%,190,20.40%,70,64.80%,38,35.20%,113,91.90%,10,8.10%,29,80.60%,7,19.40%,468,91.10%,46,8.90%,106,83.50%,21,16.50%,104,82.50%,22,17.50%,261,93.90%,17,6.10%,162,88.00%,22,12.00%,50,80.60%,12,19.40%,577,88.10%,78,11.90%,66,100.00%,
Lancashire,11,68.80%,5,31.30%,896,79.20%,236,20.80%,78,89.70%,9,10.30%,114,83.20%,23,16.80%,30,76.90%,9,23.10%,761,94.40%,45,5.60%,71,89.90%,8,10.10%,178,83.20%,36,16.80%,293,94.80%,16,5.20%,414,89.80%,47,10.20%,81,86.20%,13,13.80%,772,84.90%,137,15.10%,22,100.00%,
Leicestershire,13,81.30%,3,18.80%,457,82.00%,100,18.00%,78,70.90%,32,29.10%,48,80.00%,12,20.00%,8,72.70%,3,27.30%,291,93.30%,21,6.70%,38,92.70%,3,7.30%,93,89.40%,11,10.60%,103,92.80%,8,7.20%,125,85.00%,22,15.00%,27,81.80%,6,18.20%,388,86.80%,59,13.20%,28,100.00%,
Lincolnshire,2,100.00%,0,0.00%,438,81.10%,102,18.90%,18,100.00%,0,0.00%,59,90.80%,6,9.20%,9,81.80%,2,18.20%,350,92.80%,27,7.20%,21,80.80%,5,19.20%,93,90.30%,10,9.70%,103,92.80%,8,7.20%,150,85.70%,25,14.30%,38,66.70%,19,33.30%,410,81.00%,96,19.00%,21,100.00%,
Merseyside,8,100.00%,0,0.00%,1002,82.80%,208,17.20%,110,71.90%,43,28.10%,76,88.40%,10,11.60%,32,94.10%,2,5.90%,610,94.90%,33,5.10%,62,91.20%,6,8.80%,158,84.50%,29,15.50%,580,94.20%,36,5.80%,306,89.20%,37,10.80%,57,91.90%,5,8.10%,616,88.40%,81,11.60%,55,100.00%,
Metropolitan and City,73,78.50%,20,21.50%,5345,70.60%,2228,29.40%,459,66.10%,235,33.90%,633,80.20%,156,19.80%,263,79.90%,66,20.10%,3233,85.70%,541,14.30%,765,84.50%,140,15.50%,780,80.40%,190,19.60%,3404,91.80%,304,8.20%,1526,75.00%,509,25.00%,437,82.50%,93,17.50%,3100,75.50%,1007,24.50%,655,100.00%,
Norfolk,5,71.40%,2,28.60%,571,81.90%,126,18.10%,33,91.70%,3,8.30%,45,88.20%,6,11.80%,6,54.50%,5,45.50%,367,92.00%,32,8.00%,24,82.80%,5,17.20%,128,90.10%,14,9.90%,131,95.60%,6,4.40%,202,83.10%,41,16.90%,31,100.00%,0,0.00%,318,92.70%,25,7.30%,35,100.00%,
Northamptonshire,4,100.00%,0,0.00%,374,75.90%,119,24.10%,13,92.90%,1,7.10%,30,78.90%,8,21.10%,14,82.40%,3,17.60%,256,91.80%,23,8.20%,29,85.30%,5,14.70%,67,78.80%,18,21.20%,107,97.30%,3,2.70%,89,78.80%,24,21.20%,22,95.70%,1,4.30%,331,84.90%,59,15.10%,41,100.00%,
Northumbria,6,85.70%,1,14.30%,972,73.50%,351,26.50%,160,69.90%,69,30.10%,137,80.10%,34,19.90%,26,72.20%,10,27.80%,1070,90.00%,119,10.00%,85,91.40%,8,8.60%,228,77.00%,68,23.00%,278,93.60%,19,6.40%,528,81.90%,117,18.10%,68,81.90%,15,18.10%,732,83.80%,142,16.20%,24,100.00%,
North Wales,1,100.00%,0,0.00%,481,82.10%,105,17.90%,56,78.90%,15,21.10%,50,90.90%,5,9.10%,5,100.00%,0,0.00%,354,96.50%,13,3.50%,26,86.70%,4,13.30%,103,88.00%,14,12.00%,129,96.30%,5,3.70%,188,86.60%,29,13.40%,23,92.00%,2,8.00%,325,86.00%,53,14.00%,8,100.00%,
North Yorkshire,3,60.00%,2,40.00%,358,81.00%,84,19.00%,20,87.00%,3,13.00%,41,77.40%,12,22.60%,14,100.00%,0,0.00%,369,92.90%,28,7.10%,28,80.00%,7,20.00%,80,92.00%,7,8.00%,126,93.30%,9,6.70%,148,92.50%,12,7.50%,28,90.30%,3,9.70%,351,93.90%,23,6.10%,20,100.00%,
Nottinghamshire,9,90.00%,1,10.00%,819,76.60%,250,23.40%,97,72.90%,36,27.10%,83,82.20%,18,17.80%,30,73.20%,11,26.80%,762,91.90%,67,8.10%,54,83.10%,11,16.90%,141,78.30%,39,21.70%,314,95.70%,14,4.30%,262,83.40%,52,16.60%,56,88.90%,7,11.10%,465,84.40%,86,15.60%,43,100.00%,
South Wales,10,71.40%,4,28.60%,1087,74.70%,369,25.30%,69,64.50%,38,35.50%,106,77.90%,30,22.10%,21,84.00%,4,16.00%,758,94.80%,42,5.30%,77,91.70%,7,8.30%,191,89.70%,22,10.30%,450,97.40%,12,2.60%,383,89.10%,47,10.90%,55,91.70%,5,8.30%,775,78.60%,211,21.40%,26,100.00%,
South Yorkshire,8,100.00%,0,0.00%,621,78.40%,171,21.60%,21,84.00%,4,16.00%,79,82.30%,17,17.70%,19,79.20%,5,20.80%,794,94.60%,45,5.40%,40,85.10%,7,14.90%,179,84.40%,33,15.60%,283,94.60%,16,5.40%,284,89.30%,34,10.70%,67,98.50%,1,1.50%,509,89.30%,61,10.70%,45,100.00%,
Staffordshire,8,88.90%,1,11.10%,664,79.10%,175,20.90%,70,84.30%,13,15.70%,44,84.60%,8,15.40%,13,76.50%,4,23.50%,450,93.20%,33,6.80%,36,94.70%,2,5.30%,162,83.90%,31,16.10%,221,96.50%,8,3.50%,213,91.80%,19,8.20%,58,92.10%,5,7.90%,508,79.60%,130,20.40%,34,100.00%,
Suffolk,0,-,0,-,364,87.50%,52,12.50%,14,73.70%,5,26.30%,35,94.60%,2,5.40%,10,83.30%,2,16.70%,197,92.90%,15,7.10%,17,85.00%,3,15.00%,76,90.50%,8,9.50%,111,100.00%,0,0.00%,104,90.40%,11,9.60%,15,93.80%,1,6.30%,283,95.60%,13,4.40%,26,100.00%,
Surrey,0,-,0,-,435,80.10%,108,19.90%,21,44.70%,26,55.30%,40,87.00%,6,13.00%,11,84.60%,2,15.40%,178,92.20%,15,7.80%,26,92.90%,2,7.10%,60,82.20%,13,17.80%,112,95.70%,5,4.30%,93,81.60%,21,18.40%,29,87.90%,4,12.10%,332,91.70%,30,8.30%,35,100.00%,
Sussex,1,100.00%,0,0.00%,747,82.70%,156,17.30%,82,60.70%,53,39.30%,94,86.20%,15,13.80%,19,73.10%,7,26.90%,517,93.30%,37,6.70%,53,91.40%,5,8.60%,108,85.00%,19,15.00%,208,95.00%,11,5.00%,187,84.20%,35,15.80%,52,92.90%,4,7.10%,549,92.40%,45,7.60%,43,100.00%,
Thames Valley,15,83.30%,3,16.70%,1186,75.30%,390,24.70%,139,66.20%,71,33.80%,108,82.40%,23,17.60%,36,90.00%,4,10.00%,822,90.80%,83,9.20%,107,85.60%,18,14.40%,159,82.80%,33,17.20%,395,96.80%,13,3.20%,321,79.50%,83,20.50%,86,90.50%,9,9.50%,772,87.30%,112,12.70%,67,100.00%,
Warwickshire,11,91.70%,1,8.30%,255,83.90%,49,16.10%,27,84.40%,5,15.60%,31,91.20%,3,8.80%,5,71.40%,2,28.60%,190,94.10%,12,5.90%,18,75.00%,6,25.00%,32,82.10%,7,17.90%,49,92.50%,4,7.50%,56,87.50%,8,12.50%,8,80.00%,2,20.00%,282,78.80%,76,21.20%,17,100.00%,
West Mercia,4,100.00%,0,0.00%,593,81.30%,136,18.70%,88,78.60%,24,21.40%,56,81.20%,13,18.80%,12,66.70%,6,33.30%,492,94.60%,28,5.40%,59,89.40%,7,10.60%,103,88.00%,14,12.00%,194,91.90%,17,8.10%,191,91.40%,18,8.60%,50,92.60%,4,7.40%,612,86.90%,92,13.10%,22,100.00%,
West Midlands,34,81.00%,8,19.00%,2210,80.10%,549,19.90%,212,65.60%,111,34.40%,210,78.70%,57,21.30%,121,78.60%,33,21.40%,1949,93.60%,133,6.40%,266,87.20%,39,12.80%,311,87.40%,45,12.60%,799,95.10%,41,4.90%,896,83.60%,176,16.40%,214,83.90%,41,16.10%,1154,85.10%,202,14.90%,199,100.00%,
West Yorkshire,19,95.00%,1,5.00%,1407,79.30%,368,20.70%,173,78.30%,48,21.70%,187,85.80%,31,14.20%,69,93.20%,5,6.80%,963,94.70%,54,5.30%,99,86.10%,16,13.90%,320,89.40%,38,10.60%,541,90.30%,58,9.70%,458,87.20%,67,12.80%,112,89.60%,13,10.40%,858,86.10%,138,13.90%,79,100.00%,
Wiltshire,2,100.00%,0,0.00%,341,87.00%,51,13.00%,33,78.60%,9,21.40%,29,96.70%,1,3.30%,12,100.00%,0,0.00%,241,92.30%,20,7.70%,25,89.30%,3,10.70%,69,90.80%,7,9.20%,90,94.70%,5,5.30%,86,90.50%,9,9.50%,30,85.70%,5,14.30%,214,91.10%,21,8.90%,11,100.00%,
National,237,80.10%,59,19.90%,"31,457",77.30%,"9,252",22.70%,"3,290",74.40%,"1,133",25.60%,"3,510",85.40%,599,14.60%,"1,091",79.30%,284,20.70%,"21,350",91.60%,"1,959",8.40%,"2,680",85.30%,463,14.70%,"5,781",84.40%,"1,066",15.60%,"12,093",93.70%,811,6.30%,"10,151",85.10%,"1,772",14.90%,"2,175",85.30%,376,14.70%,"21,683",84.80%,"3,874",15.20%,"2,423",100.00%,
Avon and Somerset,5,45.50%,6,54.50%,893,81.30%,206,18.70%,150,77.30%,44,22.70%,113,91.10%,11,8.90%,17,94.40%,1,5.60%,553,91.60%,51,8.40%,47,92.20%,4,7.80%,169,88.00%,23,12.00%,267,94.00%,17,6.00%,246,86.90%,37,13.10%,31,79.50%,8,20.50%,565,85.90%,93,14.10%,92,100.00%,
Bedfordshire,6,75.00%,2,25.00%,249,78.80%,67,21.20%,24,88.90%,3,11.10%,45,90.00%,5,10.00%,20,83.30%,4,16.70%,156,88.60%,20,11.40%,12,85.70%,2,14.30%,44,84.60%,8,15.40%,97,94.20%,6,5.80%,68,89.50%,8,10.50%,18,72.00%,7,28.00%,245,81.90%,54,18.10%,33,100.00%,
Cambridgeshire,1,50.00%,1,50.00%,407,82.60%,86,17.40%,26,78.80%,7,21.20%,30,85.70%,5,14.30%,8,57.10%,6,42.90%,276,92.00%,24,8.00%,23,88.50%,3,11.50%,71,85.50%,12,14.50%,98,96.10%,4,3.90%,98,81.00%,23,19.00%,19,79.20%,5,20.80%,228,89.10%,28,10.90%,34,100.00%,
Cheshire,4,100.00%,0,0.00%,811,82.10%,177,17.90%,62,69.70%,27,30.30%,49,87.50%,7,12.50%,6,75.00%,2,25.00%,492,94.80%,27,5.20%,46,95.80%,2,4.20%,130,89.70%,15,10.30%,250,95.80%,11,4.20%,291,89.00%,36,11.00%,43,91.50%,4,8.50%,593,91.10%,58,8.90%,18,100.00%,
Cleveland,1,100.00%,0,0.00%,395,76.00%,125,24.00%,29,93.50%,2,6.50%,122,88.40%,16,11.60%,12,63.20%,7,36.80%,586,93.80%,39,6.20%,25,100.00%,0,0.00%,116,78.40%,32,21.60%,224,92.90%,17,7.10%,155,85.20%,27,14.80%,33,73.30%,12,26.70%,238,91.90%,21,8.10%,23,100.00%,
Cumbria,2,100.00%,0,0.00%,299,84.50%,55,15.50%,20,87.00%,3,13.00%,28,90.30%,3,9.70%,1,100.00%,0,0.00%,246,93.90%,16,6.10%,20,90.90%,2,9.10%,72,81.80%,16,18.20%,116,97.50%,3,2.50%,106,90.60%,11,9.40%,13,92.90%,1,7.10%,236,92.50%,19,7.50%,7,100.00%,
Derbyshire,4,100.00%,0,0.00%,494,79.90%,124,20.10%,17,100.00%,0,0.00%,39,75.00%,13,25.00%,22,88.00%,3,12.00%,355,91.50%,33,8.50%,25,83.30%,5,16.70%,99,82.50%,21,17.50%,146,90.70%,15,9.30%,167,87.00%,25,13.00%,44,86.30%,7,13.70%,327,80.30%,80,19.70%,53,100.00%,
Devon and Cornwall,2,40.00%,3,60.00%,648,81.90%,143,18.10%,57,91.90%,5,8.10%,65,85.50%,11,14.50%,20,95.20%,1,4.80%,317,95.50%,15,4.50%,51,82.30%,11,17.70%,115,92.70%,9,7.30%,181,95.80%,8,4.20%,175,86.60%,27,13.40%,20,90.90%,2,9.10%,563,89.80%,64,10.20%,25,100.00%,
Dorset,5,100.00%,0,0.00%,420,85.50%,71,14.50%,38,82.60%,8,17.40%,36,80.00%,9,20.00%,4,66.70%,2,33.30%,252,96.60%,9,3.40%,18,90.00%,2,10.00%,85,87.60%,12,12.40%,134,99.30%,1,0.70%,143,89.90%,16,10.10%,22,95.70%,1,4.30%,269,89.70%,31,10.30%,34,100.00%,
Durham,1,50.00%,1,50.00%,302,78.90%,81,21.10%,17,94.40%,1,5.60%,35,94.60%,2,5.40%,11,84.60%,2,15.40%,290,94.80%,16,5.20%,33,94.30%,2,5.70%,63,87.50%,9,12.50%,52,100.00%,0,0.00%,89,83.20%,18,16.80%,27,96.40%,1,3.60%,269,93.40%,19,6.60%,20,100.00%,
Dyfed Powys,2,66.70%,1,33.30%,233,84.70%,42,15.30%,17,65.40%,9,34.60%,11,91.70%,1,8.30%,5,100.00%,0,0.00%,103,93.60%,7,6.40%,19,76.00%,6,24.00%,52,89.70%,6,10.30%,146,95.40%,7,4.60%,90,93.80%,6,6.30%,16,88.90%,2,11.10%,235,82.70%,49,17.30%,9,100.00%,
Essex,12,100.00%,0,0.00%,833,77.30%,245,22.70%,132,72.10%,51,27.90%,74,85.10%,13,14.90%,28,73.70%,10,26.30%,455,87.20%,67,12.80%,61,76.30%,19,23.80%,148,87.10%,22,12.90%,286,95.30%,14,4.70%,172,81.10%,40,18.90%,32,82.10%,7,17.90%,582,84.60%,106,15.40%,74,100.00%,
Gloucestershire,1,100.00%,0,0.00%,235,77.80%,67,22.20%,5,71.40%,2,28.60%,34,89.50%,4,10.50%,4,80.00%,1,20.00%,150,94.30%,9,5.70%,23,92.00%,2,8.00%,45,91.80%,4,8.20%,88,93.60%,6,6.40%,73,80.20%,18,19.80%,9,90.00%,1,10.00%,183,93.40%,13,6.60%,26,100.00%,
GreaterManchester,10,100.00%,0,0.00%,1706,81.40%,389,18.60%,265,72.20%,102,27.80%,203,91.90%,18,8.10%,53,75.70%,17,24.30%,772,93.60%,53,6.40%,93,86.90%,14,13.10%,278,90.30%,30,9.70%,330,90.20%,36,9.80%,467,90.20%,51,9.80%,127,84.70%,23,15.30%,1003,81.30%,230,18.70%,87,100.00%,
Gwent,2,100.00%,0,0.00%,272,83.40%,54,16.60%,19,59.40%,13,40.60%,29,85.30%,5,14.70%,13,92.90%,1,7.10%,233,94.30%,14,5.70%,17,85.00%,3,15.00%,67,77.90%,19,22.10%,120,93.00%,9,7.00%,84,91.30%,8,8.70%,11,73.30%,4,26.70%,250,88.70%,32,11.30%,11,100.00%,
Hampshire,8,100.00%,0,0.00%,766,86.70%,118,13.30%,111,83.50%,22,16.50%,79,89.80%,9,10.20%,20,90.90%,2,9.10%,527,94.40%,31,5.60%,71,86.60%,11,13.40%,129,88.40%,17,11.60%,202,93.50%,14,6.50%,235,89.40%,28,10.60%,51,91.10%,5,8.90%,590,92.30%,49,7.70%,47,100.00%,
Hertfordshire,2,40.00%,3,60.00%,544,80.80%,129,19.20%,42,91.30%,4,8.70%,55,88.70%,7,11.30%,14,87.50%,2,12.50%,451,91.50%,42,8.50%,78,90.70%,8,9.30%,94,82.50%,20,17.50%,254,95.80%,11,4.20%,124,82.10%,27,17.90%,36,87.80%,5,12.20%,369,82.60%,78,17.40%,36,100.00%,
Humberside,3,100.00%,0,0.00%,530,84.80%,95,15.20%,80,67.20%,39,32.80%,77,79.40%,20,20.60%,27,81.80%,6,18.20%,461,95.40%,22,4.60%,28,100.00%,0,0.00%,150,92.60%,12,7.40%,170,94.40%,10,5.60%,221,93.20%,16,6.80%,22,81.50%,5,18.50%,340,85.90%,56,14.10%,29,100.00%,
Kent,20,90.90%,2,9.10%,792,79.80%,201,20.20%,62,65.30%,33,34.70%,78,83.00%,16,17.00%,33,91.70%,3,8.30%,448,92.00%,39,8.00%,117,90.70%,12,9.30%,124,87.30%,18,12.70%,277,94.20%,17,5.80%,199,86.10%,32,13.90%,82,82.80%,17,17.20%,491,87.10%,73,12.90%,60,100.00%,
